title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,570765,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,153964,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1923234,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,257047,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,177008,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,214529,
"The X Files",movie,"Drama, Mystery, Sci-Fi",1998,tt0120902,7,112739,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,286953,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,449641,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,441570,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1577959,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,199574,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,101371,
Crash,movie,Drama,1996,tt0115964,6.4,69996,
"Dawn of the Dead",movie,"Horror, Thriller",1978,tt0077402,7.8,133304,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,262995,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,117372,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,287845,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,196225,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,184434,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,177158,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,763192,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,500497,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,400459,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,412367,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,175991,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1523350,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,118024,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,262419,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,89211,
"Ghost Rider",movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,262180,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,174249,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,124390,
300,movie,"Action, Drama",2006,tt0416449,7.6,893792,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,138258,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39868,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,290831,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,190445,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145679,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,609668,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,135410,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31893,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92593,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1495262,
"The Contract",movie,"Action, Crime, Drama",2006,tt0445946,5.6,26781,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6361,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,296674,
"The Illusionist",movie,"Drama, Fantasy, Mystery",2006,tt0443543,7.5,398155,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,241025,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172898,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,452181,
"Office Space",movie,Comedy,1999,tt0151804,7.6,300275,
"28 Weeks Later",movie,"Horror, Sci-Fi",2007,tt0463854,6.9,326857,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,429751,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250985,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,300654,
"Resident Evil: Apocalypse",movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,216586,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,346364,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,262785,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110648,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,369278,
"I Heart Huckabees",movie,Comedy,2004,tt0356721,6.5,67114,
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,183567,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,335015,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,88514,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,456450,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,191213,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,331613,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,75024,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107606,
"The Incredible Hulk",movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,546892,
"Iron Man",movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1179474,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,76617,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,426015,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,699489,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4876,
"The Karate Kid",movie,"Action, Drama, Family",1984,tt0087538,7.3,261365,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,262150,
"Sweet November",movie,"Drama, Romance",2001,tt0230838,6.7,97087,
Superman,movie,"Action, Adventure, Sci-Fi",1978,tt0078346,7.4,197263,
"The Amazing Spider-Man",movie,"Action, Sci-Fi",2012,tt0948470,6.9,736703,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,411973,
Zodiac,movie,"Crime, Drama, Mystery",2007,tt0443706,7.7,639500,
"A Perfect Murder",movie,"Crime, Drama, Thriller",1998,tt0120787,6.6,95743,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,38316,
"Aguirre, the Wrath of God",movie,"Action, Adventure, Biography",1972,tt0068182,7.8,65583,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2997,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10263,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,115126,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,99735,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,498307,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,162113,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20719,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1819,
"Rush Hour",movie,"Action, Comedy, Crime",1998,tt0120812,7,313595,
Payback,movie,"Action, Crime, Drama",1999,tt0120784,7.1,150311,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,643854,
"Me, Myself & Irene",movie,Comedy,2000,tt0183505,6.6,259686,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,184348,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,133604,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,267854,
"Paris, Je T'aime",movie,"Comedy, Drama, Romance",2006,tt0401711,7.2,75665,
"The Golden Compass",movie,"Adventure, Family, Fantasy",2007,tt0385752,6.1,200904,
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,251207,
Closer,movie,"Drama, Romance",2004,tt0376541,7.1,245306,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,177660,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63768,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,93338,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16726,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,36649,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,596832,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,501590,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,672902,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71906,
"Dark City",movie,"Fantasy, Mystery, Sci-Fi",1998,tt0118929,7.6,220420,
"The Ring",movie,"Horror, Mystery",1998,tt0178868,7.2,82336,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,117566,
"As Good as It Gets",movie,"Comedy, Drama, Romance",1997,tt0119822,7.7,329723,
"The Astronaut's Wife",movie,"Drama, Sci-Fi, Thriller",1999,tt0138304,5.4,58406,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,7,192076,
"Ghostbusters II",movie,"Action, Comedy, Fantasy",1989,tt0097428,6.6,234180,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,5020,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2890,
"The Searchers",movie,"Adventure, Western",1956,tt0049730,7.8,100738,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,201684,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21981,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,103609,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,52002,
"Working Girl",movie,"Comedy, Drama, Romance",1988,tt0096463,6.8,65660,
"Girl, Interrupted",movie,"Biography, Drama",1999,tt0172493,7.3,225552,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42862,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,132307,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,405009,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6729,
"The Transporter",movie,"Action, Crime, Thriller",2002,tt0293662,6.8,331516,
Blow,movie,"Biography, Crime, Drama",2001,tt0221027,7.5,282602,
"Shoot 'Em Up",movie,"Action, Comedy, Thriller",2007,tt0465602,6.6,157484,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,49010,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,420035,
"Scream 2",movie,"Horror, Mystery",1997,tt0120082,6.3,223950,
"Scream 3",movie,"Horror, Mystery",2000,tt0134084,5.7,174799,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1677,
"Charlie's Angels",movie,"Action, Adventure, Comedy",2000,tt0160127,5.6,202765,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11745,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,74963,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15950,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,198752,
